地區,選區,姓名,教育程度,性別,性別_bin,出生年次,年齡,在位與否,原選區連任,推薦政黨,競爭激烈(Entropy),人口密度,政黨地位(上屆政黨得票率),有無臉書,臉書連結,PageRank,Density,Mutuality,Betweenness,Closeness,得票數,得票率,當選,政黨立場,泛藍,中立,泛綠,學歷等級
臺北市,2,王世堅,碩士,1,1,1949,75,0,0.0,民主進步黨,1.11,4108.79,0.3035542,1,https://www.facebook.com/shihchien888/?locale=zh_TW,0.005219822,0.04494382,0.5,0.001218573,0.316485365,"111,605",0.6053,1,1,0,0,1,3
臺北市,2,郭啟源,高中職以下,1,1,1962,62,0,0.0,中華統一促進黨,1.11,4108.79,0.001480022,0,,0.0,0.0,0.0,0.0,0.0,305,0.0017,0,0,0,1,0,1
臺北市,2,游淑慧,學士,0,0,1965,59,0,0.0,中國國民黨,1.11,4108.79,0.343798167,1,https://www.facebook.com/taipeicathyyu/?locale=zh_TW,0.006829679,0.033707865,0.833333333,0.011836158,0.339168616,"69,754",0.3783,0,-1,1,0,0,2
臺北市,3,余新造,學士,1,1,1952,72,0,0.0,人民最大黨,1.19,13199.81,0.0,1,https://www.facebook.com/david7835/?locale=zh_TW,0.00164168,0.02247191,0.0,0.0,0.0,596,0.003,0,0,0,1,0,2
臺北市,3,陳源發,學士,1,1,1942,82,0,0.0,無,1.19,13199.81,0.0,0,,0.0,0.0,0.0,0.0,0.0,"1,851",0.0093,0,0,0,1,0,2
臺北市,3,謝佩芬,碩士,0,0,1976,48,0,0.0,民主進步黨,1.19,13199.81,0.3035542,1,https://www.facebook.com/thepeifenhsieh/?locale=zh_TW,0.007739904,0.241573034,0.441860465,0.006220098,0.3174965,"89,850",0.4492,0,1,0,0,1,3
臺北市,3,高士恩,學士,1,1,1970,54,0,0.0,制度救世島,1.19,13199.81,0.0,0,,0.0,0.0,0.0,0.0,0.0,195,0.001,0,0,0,1,0,2
臺北市,3,王鴻薇,學士,0,0,1953,71,0,0.0,中國國民黨,1.19,13199.81,0.343798167,1,https://www.facebook.com/hungwei.org/?locale=zh_TW,0.012754913,0.06741573,0.666666667,0.010160729,0.323701643,"105,050",0.5252,1,-1,1,0,0,2
臺北市,3,楊時睿,學士,1,1,1977,47,0,0.0,台灣維新,1.19,13199.81,0.000534231,1,https://www.facebook.com/atlasxyang/?locale=zh_TW,0.004980383,0.0,0.0,0.0,0.025280899,"1,378",0.0069,0,0,0,1,0,2
臺北市,3,陳一郎,碩士,1,1,1953,71,0,0.0,臺灣雙語無法黨,1.19,13199.81,0.0,1,https://www.facebook.com/people/%E9%99%B3%E4%B8%80%E9%83%8E/61562476809053/#,0.0,0.0,0.0,0.0,0.0,"1,107",0.0055,0,0,0,1,0,3
臺北市,4,李彥秀,學士,0,0,1960,64,0,0.0,中國國民黨,1.19,5954.42,0.343798167,1,https://www.facebook.com/ashow.tpe/?locale=zh_TW,0.008372935,0.0,0.0,0.0,0.298450901,"112,743",0.4764,1,-1,1,0,0,2
臺北市,4,吳欣岱,學士,0,0,1976,48,0,0.0,台灣基進,1.19,5954.42,0.022795899,1,https://www.facebook.com/TSPDrShe/?locale=zh_TW,0.005268752,0.084269663,0.2,0.001177243,0.304835597,"26,382",0.1115,0,1,0,0,1,2
臺北市,4,高嘉瑜,碩士,0,0,1969,55,0,1.0,民主進步黨,1.19,5954.42,0.3035542,1,https://www.facebook.com/ntufishfans/?locale=zh_TW,0.009129051,0.04494382,0.375,0.009518605,0.383692681,"95,241",0.4024,0,1,0,0,1,3
臺北市,4,黃啟彬,高中職以下,1,1,1962,62,0,0.0,制度救世島,1.19,5954.42,0.0,0,,0.0,0.0,0.0,0.0,0.0,422,0.0018,0,0,0,1,0,1
臺北市,4,林秋彤,碩士,0,0,1944,80,0,0.0,台灣整復師聯盟工黨,1.19,5954.42,0.0,0,,0.0,0.0,0.0,0.0,0.0,"1,881",0.0079,0,0,0,1,0,3
臺北市,5,鍾小平,碩士,1,1,1951,73,0,0.0,中國國民黨,1.5,16542.72,0.343798167,1,https://www.facebook.com/chung.siao.ping/?locale=zh_TW,0.002043878,0.0,0.0,0.0,0.233510196,"57,634",0.3428,0,-1,1,0,0,3
臺北市,5,陳燕玉,高中職以下,0,0,1946,78,0,0.0,無,1.5,16542.72,0.0,0,,0.0,0.0,0.0,0.0,0.0,194,0.0012,0,0,0,1,0,1
臺北市,5,許敬民,學士,1,1,1938,86,0,0.0,合一行動聯盟,1.5,16542.72,0.000721917,0,,0.0,0.0,0.0,0.0,0.0,174,0.001,0,0,0,1,0,2
臺北市,5,林志成,碩士,1,1,1954,70,0,0.0,無,1.5,16542.72,0.0,1,https://www.facebook.com/ChihCheng0210/?locale=zh_TW,0.0,0.0,0.0,0.0,0.0,138,0.0008,0,0,0,1,0,3
臺北市,5,于美人,學士,0,0,1954,70,0,0.0,無,1.5,16542.72,0.0,1,https://www.facebook.com/yu.beauty.belle/?locale=zh_TW,0.004162435,0.0,0.0,0.0,0.308490534,"38,913",0.2314,0,0,0,1,0,2
臺北市,5,蘇諍,學士,1,1,1948,76,0,0.0,經濟黨,1.5,16542.72,0.0,1,https://www.facebook.com/p/%E8%98%87%E8%AB%8D-100050763801471/,0.00164168,0.084269663,0.0,0.0,0.0,472,0.0028,0,0,0,1,0,2
臺北市,5,吳沛憶,碩士,0,0,1976,48,0,0.0,民主進步黨,1.5,16542.72,0.3035542,1,https://www.facebook.com/Pay1Pay1/?locale=zh_TW,0.010566231,0.129213483,0.695652174,0.007225983,0.331254682,"66,932",0.3981,1,1,0,0,1,3
臺北市,5,孫智麗,博士,0,0,1957,67,0,0.0,無,1.5,16542.72,0.0,1,https://www.facebook.com/Julie.Julia.SUN/?locale=zh_TW,0.00164168,0.011235955,0.0,0.0,0.0,"1,489",0.0089,0,0,0,1,0,4
臺北市,5,張華特,高中職以下,1,1,1946,78,0,0.0,台灣麻將最大黨,1.5,16542.72,0.0,1,https://www.facebook.com/p/%E5%BC%B5%E8%8F%AF%E7%89%B9-100000238235211/?locale=zh_TW,0.00164168,0.050561798,0.0,0.0,0.0,692,0.0041,0,0,0,1,0,1
臺北市,5,李慧曦,博士,0,0,1950,74,0,0.0,司法改革黨,1.5,16542.72,0.0,1,https://www.facebook.com/people/%E5%85%AC%E7%BE%A9%E9%82%A6%E5%9C%8B%E6%9D%8E%E6%85%A7%E6%9B%A6%E5%8D%9A%E5%A3%AB/61552495295690/,0.0,0.0,0.0,0.0,0.0,"1,502",0.0089,0,0,0,1,0,4
臺北市,6,張雪卿,學士,0,0,1940,84,0,0.0,制度救世島,1.37,20521.39,0.0,0,,0.0,0.0,0.0,0.0,0.0,896,0.0054,0,0,0,1,0,2
臺北市,6,苗博雅,學士,0,0,1976,48,0,0.0,社會民主黨,1.37,20521.39,0.0,1,https://www.facebook.com/miaopoya.sdp/?locale=zh_TW,0.009406982,0.033707865,0.333333333,0.003477423,0.3750053,"74,375",0.4478,0,1,0,0,1,2
臺北市,6,崔建章,碩士,1,1,1968,56,0,0.0,臺灣雙語無法黨,1.37,20521.39,0.0,0,,0.0,0.0,0.0,0.0,0.0,"2,202",0.0133,0,0,0,1,0,3
